,IBM_GE,IBM_AMZN,GE_AMZN
0,0.35111111111111104,0.21777777777777776,0.20888888888888885
1,0.5822222222222222,0.3866666666666666,0.36
2,0.4933333333333333,0.21777777777777776,0.3333333333333333
3,0.30666666666666664,0.20888888888888885,0.20888888888888885
4,0.37777777777777766,0.13777777777777778,0.10222222222222221
5,0.4222222222222222,0.19999999999999998,0.27999999999999997
6,0.47555555555555556,0.26222222222222225,0.27111111111111114
7,0.5111111111111111,0.2088888888888889,0.23555555555555552
8,0.5377777777777777,0.2444444444444444,0.1911111111111111
9,0.5022222222222221,0.35111111111111104,0.17333333333333334
10,0.4488888888888889,0.08444444444444443,0.1733333333333333
11,0.4488888888888889,0.19111111111111112,0.2088888888888889
12,0.3866666666666666,0.3333333333333333,0.057777777777777775
13,0.3244444444444444,0.10222222222222221,0.1733333333333333
14,0.048888888888888885,0.21777777777777776,0.1911111111111111
15,0.27999999999999997,0.2,0.26222222222222225
16,0.2533333333333333,0.2622222222222222,0.3866666666666666
17,0.11111111111111112,0.1288888888888889,0.11111111111111109
18,0.2,0.26222222222222225,0.17333333333333334
19,0.1822222222222222,0.3422222222222222,0.21777777777777776
20,0.2711111111111111,0.4488888888888888,0.19999999999999998
21,0.2533333333333333,0.3688888888888888,0.26222222222222225
22,0.15555555555555553,0.35111111111111104,0.28888888888888886
23,0.4133333333333334,0.21777777777777776,0.2533333333333333
24,0.5377777777777777,0.21777777777777776,0.36
25,0.4222222222222222,0.3511111111111111,0.4133333333333333
26,0.2444444444444444,0.057777777777777775,0.13777777777777778
27,0.27999999999999997,0.1288888888888889,0.1733333333333333
28,0.39555555555555555,0.02222222222222222,0.14666666666666667
29,0.3688888888888888,0.04000000000000001,0.22666666666666663
30,0.36,-0.013333333333333332,0.02222222222222222
31,0.29777777777777775,0.022222222222222216,0.01333333333333333
32,0.048888888888888885,0.1288888888888889,0.048888888888888885
33,0.10222222222222221,0.28888888888888886,-0.00444444444444444
34,0.04,0.10222222222222221,0.03111111111111111
35,0.1733333333333333,0.013333333333333326,0.28888888888888886
36,0.2444444444444444,0.3688888888888889,0.2711111111111111
37,0.15555555555555553,0.16444444444444445,0.3511111111111111
38,0.2088888888888889,0.10222222222222221,0.3244444444444444
39,0.048888888888888885,0.039999999999999994,0.1911111111111111
40,0.27111111111111114,0.1911111111111111,0.31555555555555553
41,0.10222222222222221,0.1911111111111111,0.1288888888888889
42,0.23555555555555552,0.08444444444444443,0.08444444444444443
43,-0.031111111111111107,0.10222222222222221,0.06666666666666667
44,0.0044444444444444505,0.14666666666666667,-0.08444444444444443
45,0.031111111111111107,-0.022222222222222227,0.27111111111111114
46,0.1288888888888889,0.039999999999999994,-0.06666666666666667
47,0.1911111111111111,-0.01333333333333333,0.013333333333333326
