Date,Open,High,Low,Close,Adj Close,Volume
1/2/92,189.949997,189.979996,187.919998,188.75,188.75,2036700
1/3/92,189.940002,192.149994,189.940002,192.089996,192.089996,2191700
1/6/92,192.100006,194.449997,192.100006,194.330002,194.330002,2419800
1/7/92,194.429993,195.770004,193.789993,195.770004,195.770004,2512800
1/8/92,195.789993,198.110001,194.960007,198.080002,198.080002,2896900
1/9/92,198.089996,200.679993,198.089996,200.570007,200.570007,2917800
1/10/92,200.589996,200.600006,198.320007,199.309998,199.309998,2360600
1/13/92,199.289993,199.860001,198.699997,199.860001,199.860001,2002700
1/14/92,199.869995,202.350006,199.869995,202.350006,202.350006,2645400
1/15/92,202.339996,204.309998,202.339996,204.300003,204.300003,3124000
1/16/92,204.309998,204.820007,203.210007,204.389999,204.389999,3337500
1/17/92,204.410004,205.130005,204.300003,205.059998,205.059998,2845600
1/20/92,205.039993,205.050003,204.199997,204.300003,204.300003,1808700
1/21/92,204.289993,204.309998,200.720001,200.940002,200.940002,2186500
1/22/92,200.949997,203.729996,200.940002,203.710007,203.710007,2250300
1/23/92,203.729996,204.940002,203.729996,204.660004,204.660004,2296800
1/24/92,204.649994,205.490005,204.589996,205.419998,205.419998,2136000
1/27/92,205.429993,205.940002,204.960007,205.059998,205.059998,1904300
1/28/92,205.050003,205.389999,204.710007,204.979996,204.979996,2170700
1/29/92,204.970001,206.009995,203.559998,203.869995,203.869995,2489000
1/30/92,203.869995,204.940002,203.529999,204.869995,204.869995,1946700
1/31/92,204.880005,205.389999,204.529999,205.160004,205.160004,1970600
2/3/92,205.160004,205.919998,205.160004,205.869995,205.869995,1821500
2/4/92,205.869995,207.850006,205.869995,207.820007,207.820007,2315300
2/5/92,207.820007,209.539993,207.820007,209.339996,209.339996,2619600
2/6/92,209.350006,210.710007,209.350006,210.259995,210.259995,2382100
2/7/92,210.240005,211.220001,209.309998,210.080002,210.080002,2309500
2/10/92,210.080002,210.550003,209.830002,210.529999,210.529999,1843900
2/11/92,210.550003,210.839996,210.330002,210.710007,210.710007,2001100
2/12/92,210.710007,212.619995,210.710007,212.610001,212.610001,2302300
2/13/92,212.619995,213,211.309998,211.539993,211.539993,2293600
2/14/92,211.529999,211.779999,211,211.559998,211.559998,2148400
2/18/92,211.550003,212.119995,210.009995,210.080002,210.080002,2342700
