"","0.01","0.025","0.05","0.1","0.2","0.4","0.6","0.8","0.9","0.95","0.975","0.99"
"exceedances","494","489","484","470","419","315","206","89","55","28","16","9"
"LR_pof","0.18988024532886","0.19227648493925","3.88827211205735","10.226467797395","4.75173334512677","1.89203308294877","0.299034620814903","1.55674529958433","0.539882246144304","0.365393761255193","0.924711051619358","2.61257062000342"
"LR_crit_pof","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412"
"decision_pof","Fail to reject H0","Fail to reject H0","Reject H0","Reject H0","Reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0"
"pi01","0.833333333333333","0.909090909090909","0.9375","0.966666666666667","0.851851851851852","0.621621621621622","0.401360544217687","0.172749391727494","0.0968468468468468","0.0530785562632696","0.031055900621118","0.0183673469387755"
"pi11","0.989858012170385","0.979508196721312","0.968944099378882","0.93816631130064","0.834928229665072","0.633757961783439","0.424390243902439","0.193181818181818","0.2","0.107142857142857","0.0625","0"
"LR_ind","3.71115944771107","1.42908331313778","0.392367524949148","0.474480116597907","0.145758825802669","0.0734158756422952","0.264415923352186","0.204438984462947","4.56829202361881","1.1850907141877","0.392367524949232","0.330630836600208"
"LR_crit_ind","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412"
"decision_ind","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0"
