"","0.01","0.025","0.05","0.1","0.2","0.4","0.6","0.8","0.9","0.95","0.975","0.99"
"exceedances","250","245","236","226","203","161","106","45","23","14","4","2"
"LR_pof","0.116636218308707","0.0770434178304275","0.893058682655167","0.0279574554607946","0.0489538521607162","1.60713965905171","0.444678681825281","0.743786748586056","0.219181903835801","0.158297579077674","0.987421274152261","0.116636218308724"
"LR_crit_pof","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412"
"decision_pof","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0"
"pi01","1","1","1","0.884615384615385","0.836734693877551","0.644444444444444","0.441379310344828","0.174757281553398","0.087719298245614","0.0548523206751055","0.0161943319838057","0.00803212851405622"
"pi11","0.991967871485944","0.971311475409836","0.931914893617021","0.897777777777778","0.797029702970297","0.633540372670807","0.39622641509434","0.2","0.130434782608696","0.0714285714285714","0","0"
"LR_ind","0.032128859527461","0.40169445604267","2.18040980827345","0.0422648535204128","0.409386645680188","0.0297374922527294","0.51270926951993","0.156402329703955","0.414790744299959","0.0639490086544087","0.129560319220564","0.0321288595274624"
"LR_crit_ind","5.99146454710798","5.99146454710798","5.99146454710798","5.99146454710798","5.99146454710798","5.99146454710798","5.99146454710798","5.99146454710798","5.99146454710798","5.99146454710798","5.99146454710798","5.99146454710798"
"decision_ind","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0"
