"","0.01","0.025","0.05","0.1","0.2","0.4","0.6","0.8","0.9","0.95","0.975","0.99"
"exceedances","486","479","467","449","399","305","215","123","74","51","32","20"
"LR_pof","10.9939808955854","4.93841340358382","2.45919430988166","0.0220918543545086","0.0124689182814099","0.208929076365348","1.86070667833552","6.27408848492593","11.3256114971157","22.1707395707614","21.9510776724953","25.9109821247121"
"LR_crit_pof","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412"
"decision_pof","Reject H0","Reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Reject H0","Reject H0","Reject H0","Reject H0","Reject H0"
"pi01","0.928571428571429","0.952380952380952","0.939393939393939","0.882352941176471","0.831683168316832","0.594871794871795","0.403508771929825","0.236074270557029","0.131455399061033","0.0957683741648107","0.0535331905781585","0.0375782881002088"
"pi11","0.97319587628866","0.9581589958159","0.933476394849785","0.899553571428571","0.78894472361809","0.618421052631579","0.462616822429907","0.270491803278689","0.232876712328767","0.14","0.1875","0.05"
"LR_ind","0.710353663607932","0.0160328004969703","0.0179125617894035","0.142212715020461","0.943095602969819","0.276330357531031","1.74172716588203","0.582154298320613","4.60233729658291","0.891103671971757","6.41258806903552","0.0741394795119066"
"LR_crit_ind","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412"
"decision_ind","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Reject H0","Fail to reject H0","Reject H0","Fail to reject H0"
