Date,Open,High,Low,Close,Adj Close,Volume
3/17/87,2246.159912,2287.780029,2238.209961,2284.800049,2284.800049,19790000
3/18/87,2299.01001,2315.199951,2262.219971,2286.929932,2286.929932,25790000
3/19/87,2281.389893,2310.649902,2270.169922,2299.570068,2299.570068,15830000
3/20/87,2310.649902,2342.050049,2295.030029,2333.52002,2333.52002,30530000
3/23/87,2337.5,2373.01001,2322.439941,2363.780029,2363.780029,24730000
3/24/87,2370.169922,2387.360107,2348.01001,2369.179932,2369.179932,26400000
3/25/87,2366.76001,2383.52002,2344.459961,2363.48999,2363.48999,19090000
3/26/87,2374.860107,2399.570068,2359.379883,2372.590088,2372.590088,19460000
3/27/87,2378.550049,2386.649902,2326.98999,2335.800049,2335.800049,18720000
3/30/87,2243.040039,2303.409912,2230.26001,2278.409912,2278.409912,28680000
3/31/87,2296.02002,2315.47998,2271.310059,2304.689941,2304.689941,18570000
4/1/87,2277.129883,2325.139893,2271.159912,2316.050049,2316.050049,21100000
4/2/87,2328.550049,2347.590088,2299.290039,2320.449951,2320.449951,22570000
4/3/87,2321.590088,2402.409912,2307.669922,2390.340088,2390.340088,27410000
4/6/87,2407.530029,2425,2384.800049,2405.540039,2405.540039,22240000
4/7/87,2401.280029,2428.409912,2352.840088,2360.939941,2360.939941,26140000
4/8/87,2371.590088,2396.159912,2342.610107,2372.159912,2372.159912,23220000
4/9/87,2375.98999,2383.810059,2320.600098,2339.199951,2339.199951,22680000
4/10/87,2323.439941,2358.659912,2305.110107,2338.780029,2338.780029,24670000
4/13/87,2332.389893,2355.679932,2278.409912,2287.070068,2287.070068,31990000
4/14/87,2275.709961,2293.889893,2213.639893,2252.97998,2252.97998,41890000
4/15/87,2285.800049,2307.530029,2243.320068,2282.949951,2282.949951,29570000
4/16/87,2296.590088,2320.879883,2264.629883,2275.98999,2275.98999,29940000
4/20/87,2293.179932,2300.570068,2252.560059,2270.600098,2270.600098,18370000
4/21/87,2257.669922,2341.050049,2240.909912,2337.070068,2337.070068,25980000
4/22/87,2331.820068,2353.129883,2282.100098,2285.939941,2285.939941,28240000
4/23/87,2296.310059,2318.610107,2255.820068,2280.969971,2280.969971,27090000
4/24/87,2261.080078,2279.550049,2221.590088,2235.370117,2235.370117,23910000
4/27/87,2208.100098,2264.350098,2180.540039,2230.540039,2230.540039,31990000
4/28/87,2240.629883,2270.73999,2214.060059,2231.959961,2231.959961,27180000
4/29/87,2248.01001,2283.23999,2228.27002,2254.26001,2254.26001,26840000
4/30/87,2256.820068,2314.199951,2250,2286.360107,2286.360107,28340000
5/1/87,2282.23999,2312.219971,2256.679932,2280.399902,2280.399902,20710000
5/4/87,2275.139893,2305.959961,2255.26001,2286.219971,2286.219971,17170000
5/5/87,2303.409912,2348.01001,2294.600098,2338.070068,2338.070068,24910000
5/6/87,2338.209961,2369.889893,2309.939941,2342.189941,2342.189941,31390000
5/7/87,2343.320068,2368.610107,2315.77002,2334.659912,2334.659912,40460000
5/8/87,2345.879883,2357.23999,2303.129883,2322.300049,2322.300049,31260000
5/11/87,2336.75,2380.77002,2297.919922,2307.300049,2307.300049,34560000
5/12/87,2309.76001,2333.139893,2289.840088,2322.600098,2322.600098,21320000
5/13/87,2326.929932,2346.850098,2302.110107,2329.679932,2329.679932,21030000
5/14/87,2336.459961,2349.310059,2307.159912,2325.48999,2325.48999,19050000
5/15/87,2309.040039,2324.47998,2266.600098,2272.52002,2272.52002,28370000
5/18/87,2269.199951,2282.909912,2227.050049,2258.659912,2258.659912,24580000
5/19/87,2275.120117,2280.459961,2205.399902,2221.280029,2221.280029,25050000
5/20/87,2218.090088,2248.080078,2188.530029,2215.870117,2215.870117,28500000
5/21/87,2243.790039,2256.060059,2212.77002,2225.77002,2225.77002,20280000
5/22/87,2234.189941,2258.419922,2220.149902,2243.199951,2243.199951,14140000
5/26/87,2273.060059,2305.52002,2252.879883,2297.939941,2297.939941,21890000
5/27/87,2295.659912,2320.23999,2274.27002,2295.810059,2295.810059,20170000
5/28/87,2298.090088,2323.570068,2265.929932,2310.679932,2310.679932,15610000
5/29/87,2326,2332.389893,2281.100098,2291.570068,2291.570068,16040000
6/1/87,2309.620117,2319.780029,2277,2288.22998,2288.22998,15680000
6/2/87,2287.469971,2306.429932,2260.620117,2278.219971,2278.219971,16740000
6/3/87,2292.169922,2330.100098,2283.370117,2320.689941,2320.689941,18030000
6/4/87,2323.419922,2343.449951,2308.709961,2337.080078,2337.080078,13840000
6/5/87,2335.409912,2346.330078,2312.350098,2326.149902,2326.149902,14120000
6/8/87,2320.389893,2362.709961,2306.889893,2351.639893,2351.639893,13750000
6/9/87,2357.100098,2366.050049,2331.77002,2352.699951,2352.699951,16780000
6/10/87,2362.860107,2389.709961,2328.580078,2353.610107,2353.610107,23320000
6/11/87,2366.5,2380.459961,2341.929932,2360.129883,2360.129883,17390000
6/12/87,2379.100098,2399.419922,2360.73999,2377.72998,2377.72998,19610000
6/15/87,2393.360107,2409.439941,2374.389893,2391.540039,2391.540039,18160000
6/16/87,2391.330078,2415.360107,2376.100098,2407.350098,2407.350098,19090000
6/17/87,2412.850098,2427.290039,2390.699951,2407.350098,2407.350098,21560000
6/18/87,2397.139893,2419.909912,2386.459961,2408.129883,2408.129883,19300000
6/19/87,2409.699951,2431.850098,2395.26001,2420.850098,2420.850098,33310000
6/22/87,2428.389893,2457.290039,2417.399902,2445.51001,2445.51001,23430000
6/23/87,2454.23999,2466.040039,2421.719971,2439.72998,2439.72998,26680000
6/24/87,2431.280029,2454.080078,2415.340088,2428.409912,2428.409912,20730000
6/25/87,2438.459961,2460.139893,2430.330078,2451.050049,2451.050049,16770000
6/26/87,2439.25,2453.919922,2423.629883,2436.860107,2436.860107,16440000
6/29/87,2437.659912,2460.300049,2423.790039,2446.909912,2446.909912,16890000
6/30/87,2448.179932,2456.310059,2401.149902,2418.530029,2418.530029,21370000
7/1/87,2410.080078,2430.800049,2391.26001,2409.76001,2409.76001,18530000
7/2/87,2425.379883,2446.27002,2415.659912,2436.699951,2436.699951,17820000
7/6/87,2448.340088,2460.300049,2412.949951,2429.530029,2429.530029,21380000
7/7/87,2431.439941,2467.629883,2425.060059,2449.780029,2449.780029,24930000
7/8/87,2452.169922,2476.23999,2432.560059,2463.969971,2463.969971,25010000
7/9/87,2462.370117,2478.47998,2441.169922,2451.209961,2451.209961,18360000
7/10/87,2456.469971,2470.5,2435.909912,2455.98999,2455.98999,21150000
7/13/87,2456.310059,2470.340088,2427.139893,2452.969971,2452.969971,21050000
7/14/87,2455.840088,2492.97998,2442.600098,2481.350098,2481.350098,24400000
7/15/87,2468.429932,2502.22998,2455.199951,2483.73999,2483.73999,25820000
7/16/87,2496.969971,2511.47998,2471.780029,2496.969971,2496.969971,29670000
7/17/87,2506.219971,2533.639893,2485.649902,2510.040039,2510.040039,32120000
7/20/87,2497.929932,2512.280029,2476.879883,2487.820068,2487.820068,16540000
7/21/87,2479.590088,2500.159912,2444.669922,2467.949951,2467.949951,21470000
7/22/87,2472.580078,2488.679932,2448.5,2470.179932,2470.179932,20330000
7/23/87,2470.179932,2492.669922,2447.070068,2471.939941,2471.939941,19080000
7/24/87,2471.939941,2494.899902,2462.530029,2485.330078,2485.330078,15620000
7/27/87,2486.449951,2511.639893,2468.75,2493.939941,2493.939941,14200000
7/28/87,2515.149902,2537.149902,2489.320068,2519.77002,2519.77002,27680000
7/29/87,2522.800049,2548.469971,2501.590088,2539.540039,2539.540039,27380000
7/30/87,2543.850098,2576.850098,2527.419922,2567.439941,2567.439941,27200000
7/31/87,2566.48999,2588.330078,2551.02002,2572.070068,2572.070068,20980000
8/3/87,2547.830078,2585.300049,2536.669922,2557.080078,2557.080078,21750000
8/4/87,2553.72998,2568.719971,2525.98999,2546.719971,2546.719971,19280000
8/5/87,2553.409912,2586.580078,2540.97998,2566.649902,2566.649902,24970000
