"","0.01","0.025","0.05","0.1","0.2","0.4","0.6","0.8","0.9","0.95","0.975","0.99"
"exceedances","491","485","476","459","400","310","211","105","65","42","25","15"
"LR_pof","2.61257062000342","0.482489188412545","0.0426480503612555","1.90583488253824","0","0.838238282985181","1.00255902133023","0.308696532161227","4.61300442293108","10.1944907997362","9.98064694489962","13.1617631777724"
"LR_crit_pof","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412"
"decision_pof","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Reject H0","Reject H0","Reject H0","Reject H0"
"pi01","0.888888888888889","0.933333333333333","0.958333333333333","0.926829268292683","0.82","0.615789473684211","0.408304498269896","0.207594936708861","0.117241379310345","0.0787746170678337","0.0485232067510548","0.0289256198347107"
"pi11","0.983673469387755","0.971074380165289","0.951578947368421","0.91703056768559","0.794486215538847","0.621359223300971","0.438095238095238","0.211538461538462","0.203125","0.119047619047619","0.08","0.0666666666666667"
"LR_ind","2.12648748928748","0.537435570796536","0.0237466146133159","0.0494468067693524","0.331408833689864","0.0154732241158505","0.442483548097177","0.00773930200887331","3.27931288276596","0.743448417981565","0.425815958468025","0.537435570796554"
"LR_crit_ind","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412"
"decision_ind","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0"
