"","0.01","0.025","0.05","0.1","0.2","0.4","0.6","0.8","0.9","0.95","0.975","0.99"
"exceedances","493","486","475","449","394","304","215","122","73","43","21","10"
"LR_pof","0.718703026060763","0.177823314235407","0","0.0220918543545086","0.443461927964906","0.133636595544969","1.86070667833552","5.75242380859417","10.447831231633","11.3307774006222","4.93841340358382","3.9136195764613"
"LR_crit_pof","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412"
"decision_pof","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Reject H0","Reject H0","Reject H0","Reject H0","Reject H0"
"pi01","0.857142857142857","0.928571428571429","0.96","0.92156862745098","0.792452830188679","0.612244897959184","0.417543859649123","0.23015873015873","0.133489461358314","0.081140350877193","0.0397489539748954","0.0204498977505112"
"pi11","0.98780487804878","0.97319587628866","0.949367088607595","0.895089285714286","0.786259541984733","0.603960396039604","0.44392523364486","0.28099173553719","0.208333333333333","0.116279069767442","0.0952380952380952","0"
"LR_ind","3.08629502235775","0.710353663607932","0.0602113406621952","0.374150706918387","0.0192192799464646","0.0342666447991847","0.34708705461229","1.26091817387917","2.56336596056459","0.57404781411347","1.163322242054","0.409026466822806"
"LR_crit_ind","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412"
"decision_ind","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0"
