"","0.01","0.025","0.05","0.1","0.2","0.4","0.6","0.8","0.9","0.95","0.975","0.99"
"exceedances","492","480","464","438","383","300","220","135","87","58","32","17"
"LR_pof","1.53827672877166","3.91612609530273","4.51103050014725","2.99669406068389","3.47183584912222","0","3.30047108121015","14.1841886879832","25.5052181238474","33.9694425287357","21.9510776724953","17.9016534621823"
"LR_crit_pof","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412"
"decision_pof","Fail to reject H0","Reject H0","Reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Reject H0","Reject H0","Reject H0","Reject H0","Reject H0"
"pi01","0.875","0.95","0.944444444444444","0.887096774193548","0.786324786324786","0.59","0.414285714285714","0.263013698630137","0.159806295399516","0.106334841628959","0.0535331905781585","0.0311203319502075"
"pi11","0.985743380855397","0.960334029227557","0.926565874730022","0.874141876430206","0.759162303664921","0.605351170568562","0.470319634703196","0.283582089552239","0.232558139534884","0.175438596491228","0.1875","0.0588235294117647"
"LR_ind","2.56616111307073","0.0496897775216624","0.171308764906574","0.0857188550827665","0.37371504997719","0.117501163685517","1.56590126619654","0.209590444533442","2.47953019743907","2.12852823362615","6.41258806903552","0.330449184756796"
"LR_crit_ind","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412"
"decision_ind","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Reject H0","Fail to reject H0"
