"","0.01","0.025","0.05","0.1","0.2","0.4","0.6","0.8","0.9","0.95","0.975","0.99"
"exceedances","491","484","468","433","387","302","220","134","82","54","28","15"
"LR_pof","2.61257062000342","0.924711051619358","1.90271339011082","5.86819404723363","2.04833793915342","0.0333708040892063","3.30047108121015","13.411008108793","19.4616820608083","26.9793879461731","14.660776707934","13.1617631777724"
"LR_crit_pof","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412"
"decision_pof","Fail to reject H0","Fail to reject H0","Fail to reject H0","Reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Reject H0","Reject H0","Reject H0","Reject H0","Reject H0"
"pi01","0.888888888888889","0.9375","0.96875","0.880597014925373","0.787610619469027","0.595959595959596","0.417857142857143","0.259562841530055","0.150717703349282","0.103139013452915","0.0509554140127389","0.0309917355371901"
"pi11","0.983673469387755","0.968944099378882","0.933618843683084","0.863425925925926","0.769430051813471","0.60797342192691","0.465753424657534","0.285714285714286","0.222222222222222","0.132075471698113","0.107142857142857","0"
"LR_ind","2.12648748928748","0.392367524949148","0.742084232666513","0.151247560327664","0.166712978485586","0.0719727278722323","1.144113549547","0.338115110651144","2.3813671272263","0.394384210324998","1.30718568639122","0.929900959226765"
"LR_crit_ind","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412"
"decision_ind","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0"
