"","0.01","0.025","0.05","0.1","0.2","0.4","0.6","0.8","0.9","0.95","0.975","0.99"
"exceedances","493","485","479","459","411","312","210","103","65","34","24","15"
"LR_pof","0.718703026060763","0.482489188412545","0.71074779438979","1.90583488253824","1.55674529958426","1.20857320964664","0.828968979266259","0.111669723649638","4.61300442293108","3.0805732276777","8.58504966133435","13.1617631777724"
"LR_crit_pof","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412"
"decision_pof","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Reject H0","Fail to reject H0","Reject H0","Reject H0"
"pi01","0.857142857142857","0.933333333333333","0.952380952380952","0.902439024390244","0.853932584269663","0.601063829787234","0.396551724137931","0.198992443324937","0.114942528735632","0.0580645161290323","0.0442105263157895","0.0268595041322314"
"pi11","0.98780487804878","0.971074380165289","0.9581589958159","0.919213973799127","0.814634146341463","0.636655948553055","0.449760765550239","0.225490196078431","0.21875","0.176470588235294","0.0833333333333333","0.0666666666666667"
"LR_ind","3.08629502235775","0.537435570796536","0.0160328004969703","0.133771244191802","0.802396079554607","0.630400004387019","1.41086724711645","0.344096769286774","4.70029384207967","5.24659308253422","0.655359585285814","0.621771473356669"
"LR_crit_ind","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412"
"decision_ind","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Reject H0","Reject H0","Fail to reject H0","Fail to reject H0"
