"","0.01","0.025","0.05","0.1","0.2","0.4","0.6","0.8","0.9","0.95","0.975","0.99"
"exceedances","494","489","484","466","417","315","209","97","58","26","18","9"
"LR_pof","0.18988024532886","0.19227648493925","3.88827211205735","6.33721517349837","3.78176671235559","1.89203308294877","0.671799348111383","0.113357707959589","1.35979318670578","0.041583826063284","2.18943805180602","2.61257062000342"
"LR_crit_pof","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412"
"decision_pof","Fail to reject H0","Fail to reject H0","Reject H0","Reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0"
"pi01","0.833333333333333","0.909090909090909","0.9375","0.941176470588235","0.855421686746988","0.621621621621622","0.402061855670103","0.181141439205955","0.108597285067873","0.0443974630021142","0.0311850311850312","0.0183673469387755"
"pi11","0.989858012170385","0.979508196721312","0.968944099378882","0.931182795698925","0.829326923076923","0.633757961783439","0.4375","0.239583333333333","0.157894736842105","0.153846153846154","0.111111111111111","0"
"LR_ind","3.71115944771107","1.42908331313778","0.392367524949148","0.0519345504959255","0.350021123086833","0.0734158756422952","0.625994058974461","1.63348287033167","1.11447599350671","4.2221496486332","2.19375166340242","0.330630836600208"
"LR_crit_ind","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412"
"decision_ind","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Reject H0","Fail to reject H0","Fail to reject H0"
