"","0.01","0.025","0.05","0.1","0.2","0.4","0.6","0.8","0.9","0.95","0.975","0.99"
"exceedances","494","491","484","468","407","311","207","100","59","28","15","6"
"LR_pof","0.18988024532886","1.11199507870299","3.88827211205735","8.14821294325243","0.623642737095571","1.01489927671348","0.406809396443277","0","1.71191588630148","0.365393761255193","0.482489188412545","0.18988024532886"
"LR_crit_pof","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412"
"decision_pof","Fail to reject H0","Fail to reject H0","Reject H0","Reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0"
"pi01","0.833333333333333","0.888888888888889","0.9375","0.96875","0.838709677419355","0.613756613756614","0.399317406143345","0.195","0.106575963718821","0.0552016985138004","0.0289256198347107","0.0121703853955375"
"pi11","0.989858012170385","0.983673469387755","0.968944099378882","0.933618843683084","0.807881773399015","0.625806451612903","0.432038834951456","0.212121212121212","0.189655172413793","0.0714285714285714","0.0666666666666667","0"
"LR_ind","3.71115944771107","2.12648748928748","0.392367524949148","0.742084232666513","0.487927974007821","0.0723840983176112","0.533664260498072","0.144439176082097","3.02890647483704","0.122069097889523","0.537435570796554","0.146048230273232"
"LR_crit_ind","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412"
"decision_ind","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0"
