"","0.01","0.025","0.05","0.1","0.2","0.4","0.6","0.8","0.9","0.95","0.975","0.99"
"exceedances","489","480","463","441","404","289","194","95","49","25","16","11"
"LR_pof","12.9994765679187","8.39567484900818","8.83892037196548","3.26937398096428","0.00795232298952253","1.47432485057052","0.47960263981727","0.423357168677539","0.0435706063051431","0.00167504810014435","0.868120132717946","5.32223863500745"
"LR_crit_pof","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412"
"decision_pof","Reject H0","Reject H0","Reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Reject H0"
"pi01","1","1","0.951219512195122","0.825396825396825","0.79","0.64018691588785","0.388349514563107","0.186274509803922","0.0903083700440529","0.0460251046025105","0.0287474332648871","0.0203252032520325"
"pi11","0.969262295081967","0.949895615866388","0.915584415584416","0.881818181818182","0.803970223325062","0.522491349480969","0.381443298969072","0.2","0.163265306122449","0.12","0.125","0.0909090909090909"
"LR_ind","0.922276408362939","2.40601772638893","0.729042453393553","1.47277371817259","0.0971608644401263","7.00309877266874","0.0240034637256617","0.0936997004579902","2.31701643976379","2.04726001451431","2.79355782616956","1.44173472488749"
"LR_crit_ind","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412"
"decision_ind","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0"
