"","0.01","0.025","0.05","0.1","0.2","0.4","0.6","0.8","0.9","0.95","0.975","0.99"
"exceedances","493","489","485","470","421","317","206","88","52","26","15","9"
"LR_pof","0.718703026060763","0.19227648493925","4.88429558277707","10.226467797395","5.83956859931535","2.43341148954303","0.299034620814903","1.85777966129285","0.0878562548964796","0.041583826063284","0.482489188412545","2.61257062000342"
"LR_crit_pof","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412"
"decision_pof","Fail to reject H0","Fail to reject H0","Reject H0","Reject H0","Reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0"
"pi01","0.857142857142857","0.909090909090909","0.933333333333333","0.966666666666667","0.873417721518987","0.617486338797814","0.401360544217687","0.16747572815534","0.0915178571428571","0.0507399577167019","0.0289256198347107","0.0183673469387755"
"pi11","0.98780487804878","0.979508196721312","0.971074380165289","0.93816631130064","0.835714285714286","0.642405063291139","0.424390243902439","0.206896551724138","0.196078431372549","0.0769230769230769","0.0666666666666667","0"
"LR_ind","3.08629502235775","1.42908331313778","0.537435570796536","0.474480116597907","0.744473236143634","0.309117142092441","0.264415923352186","0.748243849141342","4.5504357462595","0.302678207231276","0.537435570796554","0.330630836600208"
"LR_crit_ind","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412"
"decision_ind","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0"
