"","0.01","0.025","0.05","0.1","0.2","0.4","0.6","0.8","0.9","0.95","0.975","0.99"
"exceedances","503","497","479","464","423","303","181","72","30","12","10","4"
"LR_pof","4.87781114499669","3.03456330486299","0.00167504810014967","2.54770854912671","5.12913454029237","0.00297717808727727","3.55304579539951","11.1578388912713","10.5763800739843","8.95411465004918","0.59149799636596","0.233272436617449"
"LR_crit_pof","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412"
"decision_pof","Reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Reject H0","Fail to reject H0","Fail to reject H0","Reject H0","Reject H0","Reject H0","Fail to reject H0","Fail to reject H0"
"pi01","1","1","1","1","0.814814814814815","0.635","0.360248447204969","0.134570765661253","0.0549682875264271","0.0224032586558045","0.0182555780933063","0.00801603206412826"
"pi11","0.99800796812749","0.985887096774194","0.947698744769874","0.913606911447084","0.843601895734597","0.577557755775578","0.359116022099448","0.194444444444444","0.133333333333333","0.0833333333333333","0.1","0"
"LR_ind","0.00398406637994514","0.197587204506355","2.61625628430264","6.9200704257833","0.404253208367886","1.66362963307476","0.000645123775364737","1.67740623513548","2.38132872186564","1.16397669106261","1.76449067419439","0.0641289433097668"
"LR_crit_ind","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412"
"decision_ind","Fail to reject H0","Fail to reject H0","Fail to reject H0","Reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0"
