"","0.01","0.025","0.05","0.1","0.2","0.4","0.6","0.8","0.9","0.95","0.975","0.99"
"exceedances","493","487","477","459","410","311","211","110","65","34","23","16"
"LR_pof","0.718703026060763","0.0202515379113121","0.172855247233431","1.90583488253824","1.28304950569592","1.01489927671348","1.00255902133023","1.22034932920532","4.61300442293108","3.0805732276777","7.2770115242803","15.467101448989"
"LR_crit_pof","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412"
"decision_pof","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Reject H0","Fail to reject H0","Reject H0","Reject H0"
"pi01","0.857142857142857","0.923076923076923","0.956521739130435","0.902439024390244","0.855555555555556","0.613756613756614","0.394463667820069","0.21025641025641","0.117241379310345","0.0580645161290323","0.0420168067226891","0.0289855072463768"
"pi11","0.98780487804878","0.975308641975309","0.953781512605042","0.919213973799127","0.811735941320293","0.625806451612903","0.457142857142857","0.247706422018349","0.203125","0.176470588235294","0.0869565217391304","0.0625"
"LR_ind","3.08629502235775","0.914012266212368","0.0038129549859331","0.133771244191802","1.00177954057952","0.0723840983176112","1.95774240231476","0.68486405377991","3.27931288276596","5.24659308253422","0.839016469622855","0.46276935009522"
"LR_crit_ind","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412"
"decision_ind","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Reject H0","Fail to reject H0","Fail to reject H0"
