,Date,Open,High,Low,Close,Volume,sma5,sma10,sma20,ema5,ema10,ema20,ema100,ema200,BBhigh,BBmid,BBlow,macd,macdSignal,macdHist,adx14,di+,di-,cci,roc21,rsi14,slow%K,slow%D,%r,obv,response
199,1993-11-11,30.04093,30.121672,29.939945,46.375,88900,46.24374,46.4156,46.53435,46.3278788116,46.3660339263,46.3965530761,45.8648535192,45.2059125,47.1841401123,46.53435,45.8845598877,0.00124943627156,0.0533290078397,-0.0520795715681,14.6858004617,0.333172283166,0.362542849214,-26.3793878696,0.338174808032,49.9986798253,1784.01808535,1773.04055469,3478.84209483,3943100.0,46.5937
200,1993-11-12,30.02072,30.202446,30.000555,46.5937,108200,46.34998,46.3906,46.51091,46.4164858744,46.4074277579,46.4153289736,45.8792861228,45.2197213308,47.1150171557,46.51091,45.9068028443,0.0181530961555,0.0462938255028,-0.0281407293473,13.7167376776,0.344505823055,0.336881632417,22.8623826657,-0.467396528705,54.1830251747,1799.38662828,1786.21359148,3525.94485509,4051300.0,46.5625
201,1993-11-15,30.162058,30.162058,30.000555,46.5625,243300,46.43748,46.34998,46.49216,46.4651572496,46.435622711,46.4293452618,45.8928151105,45.2330823126,47.0645896512,46.49216,45.9197303488,0.0287009425472,0.0427752489117,-0.0140743063645,12.8168936639,0.319802965626,0.312725469069,21.2127171705,-1.06241699867,53.4952417598,1801.58213441,1794.99561601,3519.22511975,3808000.0,46.7812
202,1993-11-16,30.141853,30.242828,30.02072,46.7812,492600,46.56248,46.33435,46.501535,46.5705048331,46.4984549454,46.4628552369,45.9104068905,45.2484864687,47.0863177743,46.501535,45.9167522257,0.0540840023407,0.0450369995975,0.00904700274318,12.3775029511,0.331845501824,0.290372064765,65.4086718181,-0.332996005326,57.5617767667,1815.85116787,1805.60664352,3566.32788001,4300600.0,46.5312
203,1993-11-17,30.242828,30.242828,29.980331,46.5312,39600,46.56872,46.3531,46.495285,46.557403222,46.5044085917,46.469364262,45.9226998233,45.2612497874,47.0759797504,46.495285,45.9145902496,0.0534116531494,0.0467119303079,0.0066997228415,11.7461015217,0.307782051473,0.286748264845,27.0132893288,-0.134138306252,51.9676057158,1813.65566174,1810.36298801,3512.48384679,4261000.0,46.4062
204,1993-11-18,30.02072,30.08132,29.899574,46.4062,240800,46.57496,46.40935,46.48591,46.507002148,46.4865524841,46.463348618,45.9322740843,45.2726423269,47.0660004719,46.48591,45.9058195281,0.0423046940604,0.0458304830584,-0.00352578899794,11.093589281,0.285696203363,0.301014818335,-22.0785431584,-0.53583446573,49.3833426464,1808.16514,1812.5573232,3485.56183018,4020200.0,46.3125
205,1993-11-19,29.879429,29.960194,29.859201,46.3125,106000,46.51872,46.43435,46.482785,46.4421680987,46.4549065779,46.4489820829,45.9398033103,45.2829891694,47.0658972474,46.482785,45.8996727526,0.025645911936,0.0417935688339,-0.0161476568979,10.7032118462,0.265298782289,0.296943493496,-53.4796342676,-0.603515067488,47.4774195164,1791.70060041,1804.50713405,4215.93675044,3914200.0,46.0312
206,1993-11-22,29.839048,29.859201,29.637154,46.0312,165300,46.41246,46.42497,46.459345,46.3051787325,46.3778690183,46.4091933131,45.9416131458,45.2904340533,47.0746081062,46.459345,45.8440818938,-0.0101379875853,0.0314072575501,-0.0415452451354,11.385919373,0.246220661965,0.371346711401,-119.868421713,-0.741347708895,42.2104618649,1813.94538282,1804.60370774,6100.92711497,3748900.0,46.2812
207,1993-11-23,29.899574,29.9198,29.738066,46.2812,89700,46.31246,46.43747,46.44997,46.2971858216,46.3602928331,46.3970034738,45.9483376379,45.3002924209,47.0700722112,46.44997,45.8298677888,-0.0181152537335,0.0215027552933,-0.0396180090269,11.6454629547,0.255063725967,0.345224139041,-61.8390834106,-0.470537634409,47.7573900768,1896.24653426,1833.9641725,6196.19170284,3838600.0,46.4687
208,1993-11-24,29.980331,30.04093,29.939945,46.4687,77200,46.29996,46.43434,46.448405,46.3543572144,46.3800032271,46.4038317144,45.9586418431,45.311918367,47.0681521403,46.448405,45.8286578597,-0.00920154198374,0.0153618958379,-0.0245634378217,11.1817663159,0.289396000852,0.320846109588,1.00450575887,0.0,51.5161642958,1989.38945819,1899.86045842,6267.64014374,3915800.0,46.5
209,1993-11-26,30.10146,30.10146,30.02072,46.5,1019800,46.31872,46.44684,46.43122,46.4029048096,46.4018208222,46.4129905987,45.9693618066,45.3237400748,47.0246726118,46.43122,45.8377673882,0.000383862287286,0.0123662891278,-0.0119824268405,10.4197823233,0.294985468306,0.298033529145,27.7300005529,0.0,52.135269903,2293.93516536,2059.8570526,10202.6882286,4935600.0,46.3125
210,1993-11-29,30.121672,30.182232,29.9198,46.3125,517500,46.31872,46.41872,46.40466,46.3727698731,46.3855806727,46.4034200655,45.9761566223,45.333578482,46.9687124848,46.40466,45.8406075152,-0.0070678450478,0.00847946229267,-0.0155473073405,10.2338774835,0.273848175365,0.32029286085,7.36142338213,-1.13398386549,48.1673564053,2532.49643322,2271.94035226,10086.6028145,4418100.0,46.3437
211,1993-11-30,29.899574,30.08132,29.879429,46.3437,230000,46.38122,46.39684,46.37341,46.3630799154,46.3779660049,46.3977324402,45.983434709,45.3436294424,46.8747721003,46.37341,45.8720478997,-0.0103366431588,0.00471624120238,-0.0150528843612,10.2630994614,0.254391651587,0.314990958339,0.734237805548,-1.06737939147,48.8647674331,2765.22452673,2530.55204177,10105.9194274,4648100.0,46.4062
212,1993-12-01,30.10146,30.121672,29.980331,46.4062,379200,46.40622,46.35934,46.346845,46.3774532769,46.3830994586,46.3985388745,45.9918062989,45.3542022837,46.7770968912,46.346845,45.9165931088,-0.00779411583084,0.00221416979574,-0.0100082856266,10.0377821896,0.253840008643,0.292691029103,43.8562972268,-1.19760606532,50.3071790419,2760.0622337,2685.92773122,10144.6145655,5027300.0,46.5312
213,1993-12-02,30.04093,30.08132,29.980331,46.5312,352000,46.41872,46.35934,46.35622,46.4287021846,46.4100268297,46.4111732674,46.0024873623,45.3659137038,46.7938962529,46.35622,45.9185437471,0.00425822456378,0.00262298074934,0.00163524381443,9.82855900867,0.235794104205,0.27188314161,56.3922021401,-0.865619174434,53.1533574735,2772.09841158,2765.79505733,10222.0048415,5379300.0,46.7187
214,1993-12-03,30.04093,30.182232,30.04093,46.7187,306000,46.46246,46.39059,46.39997,46.5253681231,46.4661492243,46.4404615276,46.0166697908,45.3793742639,46.7970181739,46.39997,46.0029218261,0.0286096795788,0.00782032051523,0.0207893590635,9.26746215224,0.262641964997,0.252477609994,111.361325198,0.809171473145,57.120636483,2792.73657666,2774.96574065,9177.27495336,5685300.0,46.875
215,1993-12-06,30.222597,30.323566,30.222597,46.875,99500,46.57496,46.44684,46.440595,46.6419120821,46.540485729,46.4818461441,46.0336664286,45.3942561121,46.8570072836,46.440595,46.0241827164,0.0598307947093,0.018222415354,0.0416083793552,9.54038524735,0.305063942429,0.234450245741,192.030547172,2.24960027223,60.1502178086,2706.94943642,2757.26147489,4582.43981772,5784800.0,46.8437
216,1993-12-07,30.283197,30.303366,30.222597,46.8437,88800,46.67496,46.52809,46.47653,46.7091747214,46.5956155965,46.516308416,46.0497066973,45.4086784393,46.9017506256,46.47653,46.0513093744,0.0811130838319,0.0308005490496,0.0503125347823,9.79381383567,0.283089711432,0.217562429317,160.244096138,1.69595658073,59.2474542454,2612.76292662,2704.14964657,4573.8266244,5696000.0,46.8437
217,1993-12-08,30.262993,30.262993,30.222597,46.8437,146700,46.76246,46.58434,46.510905,46.7540164809,46.6407218516,46.5474885669,46.065429337,45.4229572608,46.938136223,46.510905,46.083673777,0.0968628763488,0.0440130145095,0.0528498618393,10.029140382,0.26274615891,0.201927835304,134.681202908,1.55815718157,59.2474542454,2508.25733427,2609.32323244,4573.8266244,5696000.0,46.6875
218,1993-12-09,30.262993,30.303366,30.121672,46.6875,416500,46.79372,46.60622,46.52028,46.7318443206,46.6492269695,46.5608229891,46.0777475679,45.4355397756,46.9543172454,46.52028,46.0862427546,0.0956382080773,0.054338053223,0.0413001548543,9.50578499311,0.243766414201,0.230939088547,84.3459635466,1.15109129434,54.5122673744,2499.1520156,2540.0574255,4530.84321236,5279500.0,46.5937
219,1993-12-10,30.182232,30.182232,30.04093,46.5937,412900,46.76872,46.61559,46.531215,46.6857962137,46.6391311569,46.563954133,46.0879644478,45.447063758,46.9610601781,46.531215,46.1013698219,0.0861061949521,0.0606916815688,0.0254145133833,9.17169154814,0.226245587012,0.249202486778,28.2231226903,0.201505376344,51.8332099322,2487.01159071,2498.14031353,4505.03115059,4866600.0,46.875
