"","0.01","0.025","0.05","0.1","0.2","0.4","0.6","0.8","0.9","0.95","0.975","0.99"
"exceedances","504","501","495","476","444","320","164","48","14","11","7","2"
"LR_pof","10.1307385403295","10.7758291280458","14.4088914867626","12.9723476961009","23.3407037496383","2.58830643210447","11.9871143009349","41.004819500571","39.7796982443695","10.5801616760297","3.03456330486305","2.40144861766427"
"LR_crit_pof","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412"
"decision_pof","Reject H0","Reject H0","Reject H0","Reject H0","Reject H0","Fail to reject H0","Reject H0","Reject H0","Reject H0","Reject H0","Fail to reject H0","Fail to reject H0"
"pi01","NaN","1","1","1","0.85","0.677595628415301","0.31858407079646","0.0945054945054945","0.0265848670756646","0.0203252032520325","0.0120967741935484","0.00399201596806387"
"pi11","1","0.994","0.981781376518219","0.941052631578947","0.884875846501129","0.609375","0.341463414634146","0.104166666666667","0.0714285714285714","0.0909090909090909","0.142857142857143","0"
"LR_ind","0","0.0360002160031102","0.327953366361471","3.30296703904988","0.577137530590163","2.35556831188638","0.26225060084105","0.0458534229363159","0.720635065345223","1.44173472488749","3.10109886858488","0.0159681062842698"
"LR_crit_ind","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412"
"decision_ind","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0"
