"","0.01","0.025","0.05","0.1","0.2","0.4","0.6","0.8","0.9","0.95","0.975","0.99"
"exceedances","499","485","470","452","406","291","191","86","47","20","12","10"
"LR_pof","0.000321510092492509","2.89192020283458","2.92986180578635","0.0559149109215896","0.0979077043214315","1.06809068028077","0.934668629446452","2.82466416770455","0.260125674802459","1.21180233722817","0.0297683626793297","3.83305016862998"
"LR_crit_pof","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412"
"decision_pof","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0"
"pi01","1","1","1","0.923076923076923","0.775510204081633","0.641509433962264","0.378205128205128","0.167865707434053","0.0899122807017544","0.0393374741200828","0.0224032586558045","0.0182555780933063"
"pi11","0.98995983935743","0.960743801652893","0.927505330490405","0.893569844789357","0.812345679012346","0.529209621993127","0.382198952879581","0.186046511627907","0.127659574468085","0.05","0.0833333333333333","0.1"
"LR_ind","0.100403293321463","1.49211891318003","4.93396456227271","0.471755104869679","0.664214167305292","6.37536310871167","0.00802057850868113","0.163327417343887","0.65718180632912","0.0531812618622405","1.16397669106261","1.76449067419439"
"LR_crit_ind","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412"
"decision_ind","Fail to reject H0","Fail to reject H0","Reject H0","Fail to reject H0","Fail to reject H0","Reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0"
