"","0.01","0.025","0.05","0.1","0.2","0.4","0.6","0.8","0.9","0.95","0.975","0.99"
"exceedances","504","500","495","475","443","318","165","52","16","11","7","2"
"LR_pof","10.1307385403295","8.17041871241264","14.4088914867626","11.7377690247747","22.1291612545447","2.03081282591957","11.3489154070103","34.4444723660579","34.6283832662531","10.5801616760297","3.03456330486305","2.40144861766427"
"LR_crit_pof","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412"
"decision_pof","Reject H0","Reject H0","Reject H0","Reject H0","Reject H0","Fail to reject H0","Reject H0","Reject H0","Reject H0","Reject H0","Fail to reject H0","Fail to reject H0"
"pi01","NaN","1","1","1","0.852459016393443","0.675675675675676","0.322485207100592","0.0997782705099778","0.0308008213552361","0.0203252032520325","0.0120967741935484","0.00399201596806387"
"pi11","1","0.991983967935872","0.981781376518219","0.938818565400844","0.882352941176471","0.60377358490566","0.339393939393939","0.134615384615385","0.0625","0.0909090909090909","0.142857142857143","0"
"LR_ind","0","0.0641289433097842","0.327953366361471","3.5507403144264","0.427809122148096","2.61693433632615","0.143391294998247","0.568693034607886","0.400695591003618","1.44173472488749","3.10109886858488","0.0159681062842698"
"LR_crit_ind","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412"
"decision_ind","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0"
