"","0.01","0.025","0.05","0.1","0.2","0.4","0.6","0.8","0.9","0.95","0.975","0.99"
"exceedances","504","501","482","462","415","297","188","80","30","13","7","1"
"LR_pof","10.1307385403295","10.7758291280458","0.446071502579261","1.63959335872134","1.78066339192479","0.240376157625468","1.5414881998383","5.67715087248763","10.5763800739843","7.49899277325801","3.03456330486305","4.8778111449967"
"LR_crit_pof","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412"
"decision_pof","Reject H0","Reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Reject H0","Reject H0","Reject H0","Fail to reject H0","Reject H0"
"pi01","NaN","1","1","0.976190476190476","0.786516853932584","0.645631067961165","0.365079365079365","0.151300236406619","0.0570824524312896","0.0244897959183673","0.0120967741935484","0.00199203187250996"
"pi11","1","0.994","0.954261954261954","0.911062906724512","0.830917874396135","0.548821548821549","0.388297872340426","0.2","0.1","0.0769230769230769","0.142857142857143","0"
"LR_ind","0","0.0360002160031102","2.01317627243358","2.83900037544613","0.953920096018561","4.7370401230205","0.270634225892931","1.13384446472646","0.788110756515176","0.925157418835998","3.10109886858488","0.00398406637997273"
"LR_crit_ind","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412"
"decision_ind","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0"
