"","0.01","0.025","0.05","0.1","0.2","0.4","0.6","0.8","0.9","0.95","0.975","0.99"
"exceedances","503","500","488","467","427","309","179","68","23","13","8","3"
"LR_pof","4.87781114499669","8.17041871241264","4.03948508438203","4.32059248845231","7.50073538395968","0.361479665031146","4.28234624822155","14.6649387253974","20.3358998990986","7.49899277325801","1.97484254830452","0.975566444240666"
"LR_crit_pof","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412"
"decision_pof","Reject H0","Reject H0","Reject H0","Reject H0","Reject H0","Fail to reject H0","Reject H0","Reject H0","Reject H0","Reject H0","Fail to reject H0","Fail to reject H0"
"pi01","1","1","1","1","0.818181818181818","0.644329896907217","0.361111111111111","0.131034482758621","0.0416666666666667","0.0244897959183673","0.0141414141414141","0.006"
"pi11","0.99800796812749","0.991983967935872","0.967145790554415","0.920600858369099","0.852112676056338","0.592233009708738","0.346368715083799","0.161764705882353","0.130434782608696","0.0769230769230769","0.125","0"
"LR_ind","0.00398406637994514","0.0641289433097842","1.05152391891825","5.88172555037229","0.557009102570961","1.3686465811061","0.10952331430218","0.454918174376101","2.757549703955","0.925157418835998","2.58053218679652","0.0360002160030702"
"LR_crit_ind","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412"
"decision_ind","Fail to reject H0","Fail to reject H0","Fail to reject H0","Reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0"
