"","0.01","0.025","0.05","0.1","0.2","0.4","0.6","0.8","0.9","0.95","0.975","0.99"
"exceedances","504","501","494","475","446","321","164","48","16","11","5","2"
"LR_pof","10.1307385403295","10.7758291280458","12.3923349515887","11.7377690247747","25.8778618239729","2.8927130971975","11.9871143009349","41.004819500571","34.6283832662531","10.5801616760297","6.07435137787782","2.40144861766427"
"LR_crit_pof","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412"
"decision_pof","Reject H0","Reject H0","Reject H0","Reject H0","Reject H0","Fail to reject H0","Reject H0","Reject H0","Reject H0","Reject H0","Reject H0","Fail to reject H0"
"pi01","NaN","1","1","1","0.862068965517241","0.675824175824176","0.31858407079646","0.0945054945054945","0.0308008213552361","0.0203252032520325","0.0100401606425703","0.00399201596806387"
"pi11","1","0.994","0.979716024340771","0.938818565400844","0.887640449438202","0.613707165109034","0.341463414634146","0.104166666666667","0.0625","0.0909090909090909","0","0"
"LR_ind","0","0.0360002160031102","0.405707336537966","3.5507403144264","0.314130442053639","1.95157392224587","0.26225060084105","0.0458534229363159","0.400695591003618","1.44173472488749","0.100403293321465","0.0159681062842698"
"LR_crit_ind","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412"
"decision_ind","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0"
