"","0.01","0.025","0.05","0.1","0.2","0.4","0.6","0.8","0.9","0.95","0.975","0.99"
"exceedances","504","502","491","468","429","311","174","65","20","13","7","3"
"LR_pof","10.1307385403295","14.0648277094792","7.49899277325801","5.02637968311449","8.86922914745255","0.614486562699949","6.4096042324235","17.6509182208029","25.8229853044573","7.49899277325801","3.03456330486305","0.975566444240666"
"LR_crit_pof","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412"
"decision_pof","Reject H0","Reject H0","Reject H0","Reject H0","Reject H0","Fail to reject H0","Reject H0","Reject H0","Reject H0","Reject H0","Fail to reject H0","Fail to reject H0"
"pi01","NaN","1","1","1","0.813333333333333","0.661458333333333","0.355623100303951","0.123287671232877","0.0372670807453416","0.0244897959183673","0.0120967741935484","0.006"
"pi11","1","0.996007984031936","0.973469387755102","0.922912205567452","0.857476635514019","0.588424437299035","0.327586206896552","0.169230769230769","0.1","0.0769230769230769","0.142857142857143","0"
"LR_ind","0","0.0159681062842127","0.689876862657466","5.55583146426806","0.930790782978166","2.69660408209814","0.397049339217889","0.993220414759935","1.43709686625293","0.925157418835998","3.10109886858488","0.0360002160030702"
"LR_crit_ind","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412","3.84145882069412"
"decision_ind","Fail to reject H0","Fail to reject H0","Fail to reject H0","Reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0","Fail to reject H0"
